timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1602092585.358,-35.156,-26.855,-28.320,-17.090,0.000,0
1602092585.362,-10.742,-34.180,-21.973,-0.488,0.000,0
1602092585.366,15.625,-31.250,-17.578,13.672,0.000,0
1602092585.370,0.488,-16.113,-26.367,2.441,0.000,0
1602092585.373,25.879,-14.160,-29.785,-15.625,0.000,0
1602092585.377,60.059,-20.020,-29.297,-19.043,0.000,0
1602092585.381,46.387,-19.531,-29.297,-4.395,0.000,0
1602092585.385,31.738,-22.949,-22.461,3.418,0.000,0
1602092585.389,49.316,-20.996,-22.461,5.859,0.000,0
1602092585.393,58.594,-17.578,-27.344,-8.301,0.000,0
1602092585.397,44.434,-22.461,-28.809,-11.230,0.000,0
1602092585.401,39.551,-23.438,-33.691,-5.859,0.000,0
1602092585.405,66.406,-20.508,-31.738,-4.395,0.000,0
1602092585.409,80.566,-22.949,-24.902,-3.418,0.000,0
1602092585.413,67.871,-23.926,-22.949,-19.043,0.000,0
1602092585.416,55.664,-29.785,-24.414,-24.414,0.000,0
1602092585.420,37.598,-32.227,-24.414,-3.418,0.000,0
1602092585.424,45.898,-31.250,-22.949,2.930,0.000,0
1602092585.428,50.293,-34.668,-28.320,-7.324,0.000,0
1602092585.432,38.086,-35.156,-32.227,-13.184,0.000,0
1602092585.436,37.109,-33.691,-25.391,-17.578,0.000,0
1602092585.440,30.762,-31.738,-23.438,-5.859,0.000,0
1602092585.444,40.527,-27.344,-24.902,15.137,0.000,0
1602092585.448,66.895,-23.926,-23.926,7.324,0.000,0
1602092585.452,62.012,-23.926,-21.973,-5.371,0.000,0
1602092585.455,37.109,-24.902,-20.508,-6.836,0.000,0
1602092585.459,20.020,-26.855,-20.996,-10.254,0.000,0
1602092585.463,18.555,-25.879,-16.113,-1.953,0.000,0
1602092585.467,33.203,-26.367,-10.742,2.930,0.000,0
1602092585.471,43.457,-24.902,-16.602,-3.418,0.000,0
1602092585.475,39.551,-29.297,-22.949,-13.672,0.000,0
1602092585.479,32.227,-34.180,-19.531,-15.137,0.000,0
1602092585.483,21.484,-30.762,-22.949,-1.465,0.000,0
1602092585.487,25.879,-27.832,-21.973,14.648,0.000,0
1602092585.491,37.598,-26.855,-19.531,14.160,0.000,0
1602092585.495,38.574,-23.926,-21.973,-1.465,0.000,0
1602092585.498,35.156,-21.973,-21.973,-4.883,0.000,0
1602092585.502,34.180,-24.414,-23.438,2.441,0.000,0
1602092585.506,26.367,-23.926,-20.996,3.418,0.000,0
1602092585.510,25.391,-21.973,-16.602,0.000,0.000,0
1602092585.514,34.180,-25.879,-22.949,5.859,0.000,0
1602092585.518,25.391,-25.391,-28.809,8.789,0.000,0
1602092585.522,22.461,-25.879,-30.762,5.859,0.000,0
1602092585.526,32.715,-25.391,-32.227,8.789,0.000,0
1602092585.530,35.156,-24.414,-26.855,5.859,0.000,0
1602092585.534,20.020,-24.902,-22.461,-2.441,0.000,0
1602092585.538,9.277,-21.973,-26.855,-11.719,0.000,0
1602092585.541,21.484,-19.043,-28.320,-0.488,0.000,0
1602092585.545,23.438,-21.973,-25.879,3.418,0.000,0
1602092585.549,23.926,-25.879,-29.297,-10.742,0.000,0
1602092585.553,19.043,-25.879,-30.762,-15.137,0.000,0
1602092585.557,-11.230,-26.855,-26.367,-17.578,0.000,0
1602092585.561,-6.348,-23.926,-27.344,-13.184,0.000,0
1602092585.565,31.250,-18.066,-27.832,-4.395,0.000,0
1602092585.569,47.363,-18.066,-22.461,-5.859,0.000,0
1602092585.573,22.949,-21.484,-27.832,-20.508,0.000,0
1602092585.577,16.113,-26.367,-27.344,-30.762,0.000,0
1602092585.580,22.949,-23.926,-23.926,-22.461,0.000,0
1602092585.584,2.930,-25.879,-23.926,-5.859,0.000,0
1602092585.588,-20.508,-30.273,-21.484,-16.113,0.000,0
1602092585.592,-30.273,-31.250,-27.344,-31.738,0.000,0
1602092585.596,-31.738,-32.715,-28.320,-29.785,0.000,0
1602092585.600,-22.461,-29.297,-26.855,-21.973,0.000,0
1602092585.604,-3.906,-24.902,-30.273,-20.508,0.000,0
1602092585.608,3.418,-24.414,-33.691,-29.297,0.000,0
1602092585.612,-3.418,-27.344,-32.715,-28.320,0.000,0
1602092585.616,-22.461,-29.785,-32.227,-30.762,0.000,0
1602092585.620,-20.996,-28.809,-34.668,-37.598,0.000,0
1602092585.623,-11.230,-32.715,-32.227,-20.996,0.000,0
1602092585.627,-13.672,-32.715,-25.879,-16.113,0.000,0
1602092585.631,-16.113,-32.715,-24.902,-18.555,0.000,0
1602092585.635,-32.715,-33.691,-28.809,-30.273,0.000,0
1602092585.639,-53.711,-32.227,-30.762,-41.016,0.000,0
1602092585.643,-33.691,-36.133,-23.926,-31.250,0.000,0
1602092585.647,-9.277,-31.250,-18.555,-22.949,0.000,0
1602092585.651,-25.391,-26.855,-21.973,-20.996,0.000,0
1602092585.655,-30.762,-28.809,-26.367,-24.902,0.000,0
1602092585.659,-27.832,-27.344,-24.902,-27.344,0.000,0
1602092585.663,-7.324,-29.785,-23.926,-9.766,0.000,0
1602092585.666,14.648,-28.809,-22.949,-0.488,0.000,0
1602092585.670,12.207,-31.250,-23.926,-11.230,0.000,0
1602092585.674,-13.672,-37.598,-26.855,-25.879,0.000,0
1602092585.678,-29.297,-29.785,-25.879,-18.066,0.000,0
1602092585.682,-14.160,-22.949,-24.902,-2.441,0.000,0
1602092585.686,-4.883,-23.438,-24.902,-6.836,0.000,0
1602092585.690,-3.906,-21.484,-22.461,-5.371,0.000,0
1602092585.694,-13.184,-24.414,-21.484,-13.672,0.000,0
1602092585.698,-19.531,-23.438,-25.879,-12.695,0.000,0
1602092585.702,-10.254,-26.855,-27.832,0.000,0.000,0
1602092585.705,-2.441,-31.738,-16.602,7.812,0.000,0
1602092585.709,11.230,-24.902,-11.230,4.883,0.000,0
1602092585.713,20.996,-19.531,-15.137,-1.953,0.000,0
1602092585.717,11.719,-17.090,-14.160,-2.441,0.000,0
1602092585.721,-13.672,-15.137,-17.090,-1.465,0.000,0
1602092585.725,-14.648,-17.578,-17.578,12.695,0.000,0
1602092585.729,-23.926,-17.578,-17.090,0.977,0.000,0
1602092585.733,-39.551,-19.043,-21.973,-14.648,0.000,0
1602092585.737,-30.762,-24.414,-23.926,-13.672,0.000,0
1602092585.741,-35.156,-22.461,-26.855,-17.090,0.000,0
1602092585.745,-28.320,-21.973,-27.832,-11.719,0.000,0
1602092585.748,-31.250,-26.855,-23.926,-16.113,0.000,0
1602092585.752,-49.316,-23.926,-18.555,-30.273,0.000,0
1602092585.756,-53.223,-24.902,-19.531,-23.438,0.000,0
1602092585.760,-39.062,-27.832,-23.926,-17.578,0.000,0
1602092585.764,-18.066,-28.320,-26.367,-20.508,0.000,0
1602092585.768,-42.969,-27.344,-24.414,-18.555,0.000,0
1602092585.772,-55.664,-29.297,-15.137,-17.090,0.000,0
1602092585.776,-44.434,-27.832,-12.695,-23.438,0.000,0
1602092585.780,-48.340,-26.855,-21.484,-21.973,0.000,0
1602092585.784,-45.410,-29.297,-22.461,-26.367,0.000,0
1602092585.788,-31.250,-30.762,-24.414,-25.879,0.000,0
1602092585.791,-35.156,-34.180,-26.367,-25.879,0.000,0
1602092585.795,-52.734,-36.133,-20.996,-25.391,0.000,0
1602092585.799,-34.668,-34.668,-26.367,-20.996,0.000,0
1602092585.803,-18.066,-33.691,-25.879,-25.879,0.000,0
1602092585.807,-32.227,-34.668,-20.996,-25.391,0.000,0
1602092585.811,-27.832,-33.691,-20.996,-21.973,0.000,0
1602092585.815,-22.461,-32.715,-20.996,-27.832,0.000,0
1602092585.819,-26.855,-32.227,-20.020,-18.555,0.000,0
1602092585.823,-31.250,-35.156,-18.555,-11.719,0.000,0
1602092585.827,-29.785,-36.621,-21.973,-18.066,0.000,0
1602092585.830,-20.508,-36.133,-21.484,-22.461,0.000,0
