timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1593292824.970,105.957,-31.738,-38.574,109.863,0.000,0
1593292824.974,203.125,-31.250,-37.598,189.941,0.000,0
1593292824.978,-18.066,-31.250,-36.621,-22.949,0.000,0
1593292824.982,-184.570,-29.785,-35.156,-174.316,0.000,0
1593292824.986,-120.605,-28.809,-34.180,-100.098,0.000,0
1593292824.990,107.910,-21.484,-31.250,112.793,0.000,0
1593292824.994,218.750,-17.578,-33.203,199.219,0.000,0
1593292824.997,16.602,-20.508,-30.762,14.160,0.000,0
1593292825.001,-173.828,-25.391,-26.367,-149.414,0.000,0
1593292825.005,-150.391,-30.273,-29.297,-121.582,0.000,0
1593292825.009,65.918,-29.785,-30.762,54.688,0.000,0
1593292825.013,225.098,-25.879,-27.832,187.012,0.000,0
1593292825.017,45.898,-27.832,-24.414,37.109,0.000,0
1593292825.021,-159.180,-32.227,-22.461,-133.301,0.000,0
1593292825.025,-175.781,-31.250,-24.414,-126.465,0.000,0
1593292825.029,20.508,-29.785,-27.832,23.926,0.000,0
1593292825.033,231.934,-26.367,-27.832,187.988,0.000,0
1593292825.036,70.801,-24.902,-28.809,57.129,0.000,0
1593292825.040,-154.297,-28.320,-30.762,-136.230,0.000,0
1593292825.044,-172.363,-26.855,-26.855,-141.113,0.000,0
1593292825.048,-14.160,-20.996,-27.344,-1.465,0.000,0
1593292825.052,208.984,-21.973,-32.715,183.105,0.000,0
1593292825.056,107.422,-22.461,-30.762,83.008,0.000,0
1593292825.060,-133.789,-18.066,-28.320,-129.883,0.000,0
1593292825.064,-177.246,-18.066,-27.344,-153.809,0.000,0
1593292825.068,-39.062,-17.090,-30.273,-26.855,0.000,0
1593292825.072,187.988,-16.602,-30.273,157.227,0.000,0
1593292825.076,139.160,-17.090,-30.762,91.797,0.000,0
1593292825.079,-112.305,-19.531,-36.133,-122.559,0.000,0
1593292825.083,-193.848,-26.855,-35.645,-167.480,0.000,0
1593292825.087,-87.402,-30.273,-26.367,-58.594,0.000,0
1593292825.091,149.414,-30.762,-23.926,125.488,0.000,0
1593292825.095,142.090,-29.297,-23.438,102.539,0.000,0
1593292825.099,-105.469,-24.414,-19.531,-101.074,0.000,0
1593292825.103,-209.473,-25.391,-21.973,-184.082,0.000,0
1593292825.107,-113.770,-24.902,-24.902,-95.215,0.000,0
1593292825.111,124.023,-24.902,-25.879,103.027,0.000,0
